PointSliceID,Room,RoomType,ObjectName,BLG,Floor,ReadingType,Alias,Com,DeCom
46470,507,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-507.ZN-T,HOLMES,5th Floor,Temp,507 Temp,,
46374,508,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-508.ZN-T,HOLMES,5th Floor,Temp,508 Temp,,
46426,509,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-509.ZN-T,HOLMES,5th Floor,Temp,509 Temp,,
46484,510,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-510.ZN-T,HOLMES,5th Floor,Temp,510 Temp,,
46393,511,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-511.ZN-T,HOLMES,5th Floor,Temp,511 Temp,,
46431,512,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-512.ZN-T,HOLMES,5th Floor,Temp,512 Temp,,
46452,513,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-513.ZN-T,HOLMES,5th Floor,Temp,513 Temp,,
46395,514,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-514.ZN-T,HOLMES,5th Floor,Temp,514 Temp,,
46416,515,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-515.ZN-T,HOLMES,5th Floor,Temp,515 Temp,,
45459,516,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-516.ZN-T,HOLMES,5th Floor,Temp,516 Temp,,
46364,517,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-517.ZN-T,HOLMES,5th Floor,Temp,517 Temp,,
46380,518,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-518.ZN-T,HOLMES,5th Floor,Temp,518 Temp,,
46436,519,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-519.ZN-T,HOLMES,5th Floor,Temp,519 Temp,,
46346,520,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-520.ZN-T,HOLMES,5th Floor,Temp,520 Temp,,
46401,521,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-521.ZN-T,HOLMES,5th Floor,Temp,521 Temp,,
46459,522,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-522.ZN-T,HOLMES,5th Floor,Temp,522 Temp,,
46370,523,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-523.ZN-T,HOLMES,5th Floor,Temp,523 Temp,,
46390,524,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-524.ZN-T,HOLMES,5th Floor,Temp,524 Temp,,
46481,525,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-525.ZN-T,HOLMES,5th Floor,Temp,525 Temp,,
46353,526,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-526.ZN-T,HOLMES,5th Floor,Temp,526 Temp,,
46442,527,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-527.ZN-T,HOLMES,5th Floor,Temp,527 Temp,,
46464,528,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-528.ZN-T,HOLMES,5th Floor,Temp,528 Temp,,
46349,529,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-529.ZN-T,HOLMES,5th Floor,Temp,529 Temp,,
46438,530,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-530.ZN-T,HOLMES,5th Floor,Temp,530 Temp,,
46461,531,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-531.ZN-T,HOLMES,5th Floor,Temp,531 Temp,,
46428,203,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 203 FCU.ZN-T,HOLMES,2nd Floor,Temp,203 Temp,,
46376,204,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 204.ZN-T,HOLMES,2nd Floor,Temp,204 Temp,,
46397,205,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 205 FCU.ZN-T,HOLMES,2nd Floor,Temp,205 Temp,,
46454,206,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 206 FCU.ZN-T,HOLMES,2nd Floor,Temp,206 Temp,,
46363,207,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 207.ZN-T,HOLMES,2nd Floor,Temp,207 Temp,,
46475,208,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 208.ZN-T,HOLMES,2nd Floor,Temp,208 Temp,,
46344,210,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 210 FCU.ZN-T,HOLMES,2nd Floor,Temp,210 Temp,,
46435,211,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 211 FCU.ZN-T,HOLMES,2nd Floor,Temp,211 Temp,,
46457,212,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 212 FCU.ZN-T,HOLMES,2nd Floor,Temp,212 Temp,,
46356,213,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 213 FCU.ZN-T,HOLMES,2nd Floor,Temp,213 Temp,,
46446,214,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 214 FCU.ZN-T,HOLMES,2nd Floor,Temp,214 Temp,,
46466,215,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 215 FCU.ZN-T,HOLMES,2nd Floor,Temp,215 Temp,,
46371,216,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 216 FCU.ZN-T,HOLMES,2nd Floor,Temp,216 Temp,,
46423,217,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 217 FCU.ZN-T,HOLMES,2nd Floor,Temp,217 Temp,,
46482,218,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 218 FCU.ZN-T,HOLMES,2nd Floor,Temp,218 Temp,,
46389,219,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 219 FCU.ZN-T,HOLMES,2nd Floor,Temp,219 Temp,,
46443,220,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 220 FCU.ZN-T,HOLMES,2nd Floor,Temp,220 Temp,,
46460,221,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 221 FCU.ZN-T,HOLMES,2nd Floor,Temp,221 Temp,,
46403,222,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 222 FCU.ZN-T,HOLMES,2nd Floor,Temp,222 Temp,,
46365,223,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 223.ZN-T,HOLMES,2nd Floor,Temp,223 Temp,,
46386,224,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 224.ZN-T,HOLMES,2nd Floor,Temp,224 Temp,,
46441,225,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 225 FCU.ZN-T,HOLMES,2nd Floor,Temp,225 Temp,,
46348,226,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 226 FCU.ZN-T,HOLMES,2nd Floor,Temp,226 Temp,,
46404,227,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 227 FCU.ZN-T,HOLMES,2nd Floor,Temp,227 Temp,,
46453,228,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 228 FCU.ZN-T,HOLMES,2nd Floor,Temp,228 Temp,,
46360,229,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 229 FCU.ZN-T,HOLMES,2nd Floor,Temp,229 Temp,,
46379,230,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 230 FCU.ZN-T,HOLMES,2nd Floor,Temp,230 Temp,,
46471,231,Sleep/Study,HH-NAE-1/Field Bus1.HOLMES RM 231 FCU.ZN-T,HOLMES,2nd Floor,Temp,231 Temp,,
46366,101,Sleep/Study,HH-NAE-1/Field Bus1.RM-101.ZN-T,HOLMES,1sr Floor,Temp,101 Temp,,
46447,102,Sleep/Study,HH-NAE-1/Field Bus1.RM-102.ZN-T,HOLMES,1sr Floor,Temp,102 Temp,,
46467,103,Sleep/Study,HH-NAE-1/Field Bus1.RM-103.ZN-T,HOLMES,1sr Floor,Temp,103 Temp,,
46409,104,Sleep/Study,HH-NAE-1/Field Bus1.RM-104.ZN-T,HOLMES,1sr Floor,Temp,104 Temp,,
46425,105,Sleep/Study,HH-NAE-1/Field Bus1.RM-105.ZN-T,HOLMES,1sr Floor,Temp,105 Temp,,
46480,106,Sleep/Study,HH-NAE-1/Field Bus1.RM-106.ZN-T,HOLMES,1sr Floor,Temp,106 Temp,,
46387,107,Sleep/Study,HH-NAE-1/Field Bus1.RM-107.ZN-T,HOLMES,1sr Floor,Temp,107 Temp,,
46445,108,Sleep/Study,HH-NAE-1/Field Bus1.RM-108.ZN-T,HOLMES,1sr Floor,Temp,108 Temp,,
46354,109,Sleep/Study,HH-NAE-1/Field Bus1.RM-109.ZN-T,HOLMES,1sr Floor,Temp,109 Temp,,
46411,110,Sleep/Study,HH-NAE-1/Field Bus1.RM-110.ZN-T,HOLMES,1sr Floor,Temp,110 Temp,,
41590,111,Sleep/Study,HH-NAE-1/Field Bus1.RM-111.ZN-T,HOLMES,1sr Floor,Temp,111 Temp,,
46429,112,Sleep/Study,HH-NAE-1/Field Bus1.RM-112.ZN-T,HOLMES,1sr Floor,Temp,112 Temp,,
46375,113,Sleep/Study,HH-NAE-1/Field Bus1.RM-113.ZN-T,HOLMES,1sr Floor,Temp,113 Temp,,
46391,114,Sleep/Study,HH-NAE-1/Field Bus1.RM-114.ZN-T,HOLMES,1sr Floor,Temp,114 Temp,,
46487,115,Sleep/Study,HH-NAE-1/Field Bus1.RM-115.ZN-T,HOLMES,1sr Floor,Temp,115 Temp,,
46359,116,Sleep/Study,HH-NAE-1/Field Bus1.RM-116.ZN-T,HOLMES,1sr Floor,Temp,116 Temp,,
46412,117,Sleep/Study,HH-NAE-1/Field Bus1.RM-117.ZN-T,HOLMES,1sr Floor,Temp,117 Temp,,
46469,118,Sleep/Study,HH-NAE-1/Field Bus1.RM-118.ZN-T,HOLMES,1sr Floor,Temp,118 Temp,,
46361,119,Sleep/Study,HH-NAE-1/Field Bus1.RM-119.ZN-T,HOLMES,1sr Floor,Temp,119 Temp,,
46415,120,Sleep/Study,HH-NAE-1/Field Bus1.RM-120.ZN-T,HOLMES,1sr Floor,Temp,120 Temp,,
36082,121,Sleep/Study,HH-NAE-1/Field Bus1.RM-121.ZN-T,HOLMES,1sr Floor,Temp,121 Temp,,
46472,122,Sleep/Study,HH-NAE-1/Field Bus1.RM-122.ZN-T,HOLMES,1sr Floor,Temp,122 Temp,,
46342,123,Sleep/Study,HH-NAE-1/Field Bus1.RM-123.ZN-T,HOLMES,1sr Floor,Temp,123 Temp,,
46432,124,Sleep/Study,HH-NAE-1/Field Bus1.RM-124.ZN-T,HOLMES,1sr Floor,Temp,124 Temp,,
46455,201,Sleep/Study,HH-NAE-1/Field Bus1.ROOM 201 FCU.ZN-T,HOLMES,2nd Floor,Temp,201 Temp,,
46410,202,Sleep/Study,HH-NAE-1/Field Bus1.ROOM 202 FCU.ZN-T,HOLMES,2nd Floor,Temp,202 Temp,,
